author,href,mark,rating_nums,title
（丹麦）安徒生 ,https://book.douban.com/subject/1046209/,远不是童话那么简单,9.2,安徒生童话故事集
张爱玲 ,https://book.douban.com/subject/1014278/,蚊子血还是饭黏子？,8.4,红玫瑰与白玫瑰
[英] 肯·福莱特 ,https://book.douban.com/subject/26698660/,五个家族，一场战争,8.9,巨人的陨落
天下霸唱 ,https://book.douban.com/subject/1882933/,盗墓祖师名不虚传,8.1,鬼吹灯之精绝古城
林海音 文 ,https://book.douban.com/subject/1254588/,长亭外，古道边，芳草碧连天,9.0,城南旧事
文：安东尼 ,https://book.douban.com/subject/4714734/,只言片语的温暖,8.4,这些都是你给我的爱
乔一 ,https://book.douban.com/subject/26414020/,一想到能和你共度余生，我就对余生充满期待,8.0,我不喜欢这世界，我只喜欢你
唐七公子 ,https://book.douban.com/subject/5916880/,现实不如梦中的圆满,8.4,华胥引（全二册）
张爱玲 ,https://book.douban.com/subject/1963684/,世钧，我们回不去了,8.6,半生缘
鲁迅 著 ,https://book.douban.com/subject/1088065/,哀其不幸，怒其不争,8.7,阿Q正传
吴念真 ,https://book.douban.com/subject/6388661/,平淡叙述下的惊心动魄,8.8,这些人，那些事
安东尼 ,https://book.douban.com/subject/3014576/,真正的片段式写作,8.3,陪安东尼度过漫长岁月
亦舒 ,https://book.douban.com/subject/2022979/,爱情才是终极的奢侈品,8.0,喜宝
金庸 ,https://book.douban.com/subject/1044547/,侠之大者，为国为民,8.9,射雕英雄传（全四册）
三毛 ,https://book.douban.com/subject/2070844/,哀而不伤,8.8,梦里花落知多少
【英】蕾秋·乔伊斯 ,https://book.douban.com/subject/24934182/,关于爱和信念的旅行,8.1,一个人的朝圣
王小波 ,https://book.douban.com/subject/1767945/,生活就是个缓慢受锤的过程，至少还可以特立独行,8.8,一只特立独行的猪
[美] 莫提默·J. 艾德勒 ,https://book.douban.com/subject/1013208/,读书的方法论,8.4,如何阅读一本书
鲁迅 ,https://book.douban.com/subject/1449352/,鲁迅的旧事重提,8.7,朝花夕拾
[德国]格林兄弟 ,https://book.douban.com/subject/1043008/,许多隐晦,9.0,格林童话全集
幾米 ,https://book.douban.com/subject/1056733/,黑暗世界中的点滴亮光,8.3,地下铁
